Heating DB 99.6% - EPW,Heating DB 99% - EPW,Cooling DB 0.4% - EPW,Cooling DB 1% - EPW
-28.0,-24.741,22.996399999999994,21.0
-27.9,-25.6,25.2,22.3
-33.1892,-31.0,23.596399999999996,21.5
-31.9,-29.6,22.0,20.2
-31.9,-29.6,23.6,21.3
-33.0964,-30.0,20.196399999999993,18.4
-34.696400000000004,-32.3,20.696399999999993,19.1
-32.5,-28.541,20.296399999999995,18.440999999999985
-23.7,-22.0,23.096399999999996,21.140999999999988
-23.5,-21.4,23.2,21.5
-26.6,-23.841,23.5,21.8
-26.5,-23.0,22.296399999999995,20.7
-24.1964,-22.3,22.4,20.9
-26.5,-23.2,24.7,23.0
-33.5,-32.1,22.2,20.1
-36.3964,-32.340999999999994,22.8,20.340999999999987
-29.8,-27.9,25.3,23.5
-26.6,-24.441,21.2,20.0
-30.7,-27.241,25.7,23.440999999999985
-29.796400000000002,-26.5,22.9,21.1
-28.7,-26.8,24.4,22.1
-30.1928,-26.8,22.1,20.5
-28.1,-25.841,20.8,19.7
-28.6,-26.9,21.196399999999993,20.0
-16.8,-16.0,15.896399999999995,14.8
-21.3,-16.741,21.392799999999987,18.440999999999985
-19.3,-16.941,17.0,15.9
-17.1,-15.7,22.1,19.5
-15.0,-13.5,21.196399999999993,19.340999999999987
-19.3,-17.7,19.096399999999996,17.4
-26.1928,-23.6,18.8,17.2
-33.5964,-29.841,22.196399999999993,19.940999999999985
-30.1928,-26.8,20.996399999999994,19.1
-30.6964,-27.541,23.896399999999993,21.1
-34.2964,-32.041,21.996399999999994,20.5
-34.3,-31.9,22.496399999999994,20.9
-33.3964,-29.741,25.99279999999999,22.440999999999985
-24.1,-21.582,20.0,18.7
-26.6,-25.1,20.7,18.8
-27.6,-25.541,21.596399999999996,19.240999999999985
-28.7928,-26.141000000000002,23.3,21.6
-31.4,-28.5,22.4,20.7
-30.4,-27.6,23.3,21.7
-29.9,-26.7,22.4,21.140999999999988
-26.596400000000003,-23.941,24.496399999999994,22.540999999999986
-27.1,-24.741,24.696399999999993,23.1
-25.6,-24.3,20.1,18.6
-28.7,-26.5,21.9,19.081999999999972
-26.6,-24.8,20.8,18.740999999999985
-32.3,-28.7,23.8,21.9
-30.1964,-27.041,23.696399999999993,22.140999999999988
-30.596400000000003,-27.4,23.7,22.2
-26.3964,-22.0,21.696399999999993,19.540999999999986
-23.1964,-21.441,23.096399999999996,21.5
-17.796400000000002,-16.2,23.196399999999993,21.740999999999985
-32.5,-30.6,23.4,21.6
-32.5,-30.341,24.0,22.1
-35.6,-32.623,24.0,22.1
-23.3,-21.441,22.7,21.1
-23.796400000000002,-21.941,23.796399999999995,22.4
-23.1,-21.5,23.7,22.2
-25.9964,-22.841,22.096399999999996,20.340999999999987
-27.0,-24.0,25.0,23.0
-27.0,-24.0,25.0,23.0
-26.2892,-23.8,21.6,20.240999999999985
-26.4,-24.2,24.196399999999993,22.3
-28.1964,-26.4,22.3,20.8
-29.2928,-27.041,24.5,22.5
-27.6,-25.2,23.7,21.740999999999985
-29.3892,-27.441,25.1,23.4
-30.0928,-26.9,22.3,21.0
-32.192800000000005,-29.2,21.2,20.2
-29.9,-27.4,24.7,23.0
-23.6928,-21.8,22.0,20.740999999999985
-26.8964,-22.7,24.0,22.540999999999986
-23.4892,-19.9,21.7,20.7
-26.6,-22.441,24.396399999999993,22.5
-31.3,-28.8,25.996399999999994,24.3
-30.096400000000003,-28.3,25.392799999999987,23.7
-31.596400000000003,-29.0,25.392799999999987,23.9
-27.9964,-25.141000000000002,24.99279999999999,22.140999999999988
-29.1964,-26.6,24.3,22.5
-29.6964,-27.0,22.4,21.6
-26.7,-24.741,19.8,18.8
-20.4964,-18.1,20.1,19.0
-16.3964,-14.641,20.0,19.0
-23.2928,-21.8,25.2,23.7
-27.7,-24.841,24.796399999999995,23.3
-28.4,-25.2,24.796399999999995,23.2
-19.8,-18.4,23.7,21.9
-21.6,-19.9,22.4,21.3
-21.8,-20.4,23.0,21.340999999999987
-25.0,-22.5,23.3,21.6
-25.4964,-23.5,22.6,21.3
-24.4964,-23.1,22.0,20.9
-18.8964,-17.0,18.8,18.1
-25.7,-22.8,20.2,19.5
-18.9,-17.0,19.0,18.2
-23.1,-20.8,20.796399999999995,19.5
-21.2,-19.5,20.3,19.3
-23.9,-20.941,19.696399999999993,18.7
-27.7,-24.041,22.5,21.1
-21.9,-19.0,22.596399999999996,21.040999999999986
-24.8964,-23.1,23.3,21.6
-27.9,-25.1,24.7,23.4
-30.7,-27.8,24.196399999999993,22.8
-29.1928,-25.341,24.0,22.4
-21.796400000000002,-19.241,22.696399999999993,19.840999999999987
-23.0,-20.241,26.285599999999977,22.940999999999985
-21.9,-20.1,21.2,19.9
-18.392799999999998,-15.8,18.1,16.140999999999988
-16.2,-14.441,23.196399999999993,18.340999999999987
-29.3,-20.4,21.096399999999996,19.0
-24.8964,-20.041,24.9,22.640999999999988
